domain,dr
congly.vn,70.0
congthuong.vn,78.0
cotrang.org,15.0
cozyvietnamtravel.vn,4.4
crisisshelter.org,10.0
cuanhuanamwindows.com,35.0
cuoixastress.com,10.0
dailymail4you.com,0.4
danangaz.com,34.0
danhgiasao.com,22.0
danhgiathuonghieu.vn,8.0
dantri.com.vn,85.0
danviet.vn,77.0
dds.com.vn,23.0
dep.com.vn,55.0
diadiemthanhhoa.com,0.0
dichbiensoxe.online,0.1
dichvusonnha.vn,0.0
diendandoanhnghiep.vn,74.0
dienlanhdh.com,6.0
digitalgamersdream.com,4.7
digitaljournal.com,86.0
digitby.com,0.2
dntbinhduong.org.vn,16.0
doanhnghiephoinhap.vn,62.0
doanhnghiepkinhtexanh.vn,45.0
doanhnghiepvn.vn,66.0
doanhnhan.vn,52.0
doanhnhanvn.vn,51.0
docsachvituonglai.vn,12.0
doisongphapluat.com.vn,71.0
doisongvietnam.vn,43.0
dongnaitoplist.com,31.0
dongthaptoplist.com,2.6
doxeshchuyennghiep.vn,0.4
dtec.edu.vn,8.0
dulichhatinh.com.vn,16.0
dulichnhatban.net,7.0
dulichsontra.com,44.0
duonggiahotel.vn,26.0
emagazinehub.com,15.0
emdep.vn,60.0
empiremovies.com,33.0
entrepreneur.com,91.0
eva.vn,77.0
everyvoicecenter.org,13.0
fergusonaction.com,32.0
feri.org,55.0
firedout.com,20.0
fishyfacts4u.com,8.0
fjn.vn,0.3
forbes.com,94.0
formulasantander.com,15.0
fpthcm.com.vn,9.0
freshersnews.co.in,22.0
gachmenthanhtung.vn,1.4
gamek.vn,66.0
gearbest.net,8.0
general-imaging.com,20.0
genk.vn,73.0
gforgames.com,46.0
giadinh.suckhoedoisong.vn,82.0
giadinhmoi.vn,57.0
giadinhvaphapluat.vn,42.0
giaoducthoidai.vn,74.0
giaoducthudo.giaoducthoidai.vn,74.0
golfviet.vn,43.0
golook.vn,11.0
greenbusinessonly.com,2.0
haiduongtoplist.com,2.9
haiphongtoplist.com,2.7
handymandecor.com,10.0
hanghoathuonghieu.vn,21.0
hanoi.inhat.vn,56.0
hanoimoi.vn,74.0
hanoireview.vn,32.0
hanoitoplist.com,26.0
hatinhtoplist.com,2.9
hauthien.com,0.8
hcm.inhat.vn,56.0
hcmtoplist.com,26.0
hellodanang.vn,26.0
hiephoixedien.com,3.8
hilaw.vn,7.0
hiroasiankitchen.com,11.0
hnsland.vn,2.3
hoala.vn,20.0
hoangtrieu.vn,7.0
hocgiday.vn,12.0
hoinhap.vanhoavaphattrien.vn,55.0
hoiquanfreefire.com,0.1
home.vn,28.0
hotelnikkohanoi.com.vn,19.0
howtosucceedbroadway.com,34.0
hsdvn.com.vn,14.0
hse.org.vn,12.0
huengaynay.vn,63.0
huetoplist.vn,6.0
hungyentoplist.com,2.6
huongnghiep.com.vn,5.0
