domain,dr
icccftu.vn,3.1
icydk.com,28
ilawjournals.com,9
indeedken.com,15
inhat.vn,56
inoxsaophuongnam.com,4.4
iqeye.com,36
itoplist.vn,0.1
ixprl.com,3.1
jaxtr.com,39
jimmeyerracing.com,10
justicesnows.com,22
kaina.vn,9
kame.vn,13
kamiidphoto.vn,0.2
karaoke.info.vn,0
kenh14.vn,79
kenhtuyensinh.vn,50
kenkoshop.vn,25
kevinlebeautygroup.com,0.1
khoahoccuocsong.com,14
khoancatbetonggiare.vn,5
khomaucnc.com.vn,0.1
khuvuichoitreem.com.vn,7
kichcaudulichtphcm.vn,29
kientrucmaigia.vn,26
kimbien.com.vn,6
kinhtemoitruong.vn,57
kinhtethoidai.net,2.5
kinhtevadautu.vn,39
kreweduoptic.com,23
kuttywebnews.com,4.8
ladipage.com.vn,3.6
ladygeek.com,28
lamdongtoplist.com,11
lamhochieu.net,0.2
laodong.vn,82
latestnews2u.com,18
leetureview.com,6
lifehacktimes.com,14
lifescience1.com,1.4
likesuccess.com,18
logicaldaily.com,6
longthanhcentralpoint.vn,2.4
luatthanhthai.vn,11
luxrender.net,43
machovibes.com,7
maiche.vn,0
mamcungviet.com.vn,4.6
mantavya.com,8
marina-club.com.vn,1.9
marketbusiness.info,2.8
marketingbusinessplans.com,8
marketsharegroup.com,2.2
marry.vn,55
megaacademy.edu.vn,11
megafun.vn,44
megaincomestream.com,70
mitsubishi-isamco.com.vn,0.2
mitsuphuongnguyen.vn,0.1
motorstore.vn,7
mp3newswire.net,37
mrfix.com.vn,3.6
msn.com,92
muaphelieusg.com,0
musicraiser.com,44
naction.in,34
namhocsg.com,0
nano-ceramic.vn,1.1
netup.vn,6
news.yahoo.com,94
newsninjapro.com,24
newsrivals.com,24
ngheantoplist.net,33
ngoisao.net,70
ngoisao.vn,68
ngoisao.vnexpress.net,90
nguoidothi.net.vn,60
nguoiduatin.vn,76
nguoihanoi.vn,47
nguoiquansat.vn,66
nhahangbachkim.com.vn,7
nhakhoadongnama.vn,7
nhalocphat.vn,2.3
nhandan.vn,83
nhanghiganday.vn,1
nhathuoctaman.net,0
nhipcaudautu.vn,67
nhipsongdothi.vn,54
ninhbinhtoplist.com,2.6
nongthonvaphattrien.vn,48
nytimes.com,94
officeforrent.com.vn,0.1
ohay.vn,31
onggiacali.vn,0.9
overlookpress.com,51
parkcityhanoi.vn,13
peonyhome.com.vn,6
petrotimes.vn,70
phapluat.suckhoedoisong.vn,82
