"CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG DANASEO MST: 0402001765 | STK 1105275555 - Vietcombank Đà Nẵng Email: contact@danaseo.net - Hotline: 0935 366 228 Stt","Tên báo","GIÁ BAO CONTENT","Link ","Note","Số liệu theo Ahrefs 24/12/2023 DR","RD","Ref GOV","Ref EDU","Total Backlinks","Total Keywords","Total Traffic","Vị trí đăng",""
"1","Phapluat.suckhoedoisong.vn","2.700.000 đ","1 Link Dof","Mua thêm link 300k ","83","1.285","9","17","488.791","27.108","23.461","Mục phù hợp",""
"2","https://wiki.batdongsan.com.vn/","5.200.000 đ","2 Link Nof","","78","10.664","16","113","39.603.354","178.403","2.212.251","Mục phù hợp",""
"3","thuonghieucongluan.com.vn","2.300.000 đ","1000 từ 3 ảnh 1 link dof","Mua thêm link 550k ","","","","","","","","Mục phù hợp",""
"4","Suckhoephapluat.nguoiduatin.vn","1.750.000 đ","2 Link Dofollow","","78","260","0","1","739","889","94","Mục phù hợp",""
"5","Thesaigontimes.vn","4.650.000 đ","3 link Do","dưới 450 từ + 1 ảnh","75","7.393","80","175","891.337","105.935","26.741","TTDN",""
"6","Diendandoanhnghiep.vn","2.700.000 đ","2 Link Dofollow","700 từ + 3 ảnh","74","6.656","133","146","972.965","99.996","45.299","Mục phù hợp",""
"7","Vietq.vn","2.450.000 đ","2 Link Dofollow","","71","6.989","143","133","307.649","40.599","7.034","Mục phù hợp",""
"8","Nhipcaudautu.vn","11.500.000 đ","1 Link Dof(thêm link 500k)","300 từ 1 ảnh bài event","72","3.794","34","91","270.518","19.556","63.438","SKDN",""
"9","tuyensinhhuongnghiep.vn","1.650.000 đ","2 Link Dofollow","1000 từ 3 ảnh 2 link dof","71","6.503","78","106","369.250","35.591","12.890","Mục phù hợp",""
"10","Petrotimes.vn","2.400.000 đ","1 link Doffollow (thêm link 200k)","","71","20.246","64","105","886.362","68.510","28.671","Mục phù hợp",""
"12","nghean24h.vn","2.500.000 đ","2 Link Dofollow","1000 từ 3 ảnh 2 link dof","57","2.714","9","30","3.725.480","3.138","398","Mục phù hợp",""
"13","Vnreview.vn","2.300.000 đ","2 link Dofollow","","69","6.226","23","109","611.721","111.144","45.923","Mục phù hợp",""
"14","Doanhnghiepvn.vn","3.150.000 đ","1 Link Dof(thêm link 300k)","","69","7.348","69","75","257.789","20.271","4.500","Bài đi lấy link",""
"15","Nguoidothi.net.vn","3.100.000 đ","2 Link Dofollow","500 từ 3 ảnh 2 link dof","64","2.771","21","51","110.864","49.957","11.422","Mục phù hợp",""
"17","Phunuvagiadinh.vn","1.650.000 đ","2 link Dofollow","1000 từ 3 ảnh 2 link dof","60","5.005","24","45","141.777","44.940","8.384","Bài đi lấy link",""
"18","thanhnienviet.vn","2.000.000","2 link Dofollow","1500 từ 5 ảnh 2 link dof","61","3.527","17","673","647.138","39.656","10.252","Mục phù hợp",""
