domain,status,chi_tiet
24h.com.vn,200,https://www.24h.com.vn/
24hexpress.vn,ERR,"HTTPSConnectionPool(host='24hexpress.vn', port=443): Max retries exceeded with u"
2sao.vn,200,https://2sao.vn/
3dsmax.com.vn,200,https://3dsmax.com.vn/
6streamsxy.com,ERR,"HTTPSConnectionPool(host='6streamsxy.com', port=443): Max retries exceeded with "
78store.vn,ERR,"HTTPSConnectionPool(host='78store.vn', port=443): Max retries exceeded with url:"
7starhd.la,ERR,"HTTPSConnectionPool(host='7starhd.la', port=443): Max retries exceeded with url:"
Afamily.vn (Áp dụng giá từ 20/5/2026),ERR,Failed to parse: https://Afamily.vn (Áp dụng giá từ 20/5/2026)
Baotayninh.vn (BÁO MỚI VỀ),ERR,Failed to parse: https://Baotayninh.vn (BÁO MỚI VỀ)
Báo pháp luật Plo.vn,ERR,Failed to parse: https://Báo pháp luật Plo.vn
Kênh 14.vn,ERR,Failed to parse: https://Kênh 14.vn
Thethaovanhoa.vn (Mục bạn cần biết),ERR,Failed to parse: https://Thethaovanhoa.vn (Mục bạn cần biết)
Vietstock.vn (BÁO MỚI VỀ),ERR,Failed to parse: https://Vietstock.vn (BÁO MỚI VỀ)
actionenglish.vn,200,https://actionenglish.vn/
adoreyou.vn,ERR,"HTTPSConnectionPool(host='adoreyou.vn', port=443): Max retries exceeded with url"
advertisingvietnam.com,200,https://advertisingvietnam.com/
afamily.vn,200,https://afamily.vn/
agiare.vn,ERR,"HTTPSConnectionPool(host='agiare.vn', port=443): Max retries exceeded with url: "
aktinmotion.com,200,https://aktinmotion.com/
algopro.vn,ERR,"HTTPSConnectionPool(host='algopro.vn', port=443): Max retries exceeded with url:"
alobacsi.com,200,https://alobacsi.com/
alongtheboards.com,200,https://alongtheboards.com/
ambalgvn.org.vn,ERR,"HTTPSConnectionPool(host='ambalgvn.org.vn', port=443): Max retries exceeded with"
amthuc10phut.vn,200,https://amthuc10phut.vn/
angiangtoplist.com,200,https://angiangtoplist.com/
angiangtv.vn,200,https://angiangtv.vn/
anhsang.edu.vn,ERR,"HTTPSConnectionPool(host='anhsang.edu.vn', port=443): Max retries exceeded with "
animestore.vn,ERR,"HTTPSConnectionPool(host='animestore.vn', port=443): Max retries exceeded with u"
anninhthudo.vn,200,https://anninhthudo.vn/
aocuoimoc.vn,ERR,"HTTPSConnectionPool(host='aocuoimoc.vn', port=443): Max retries exceeded with ur"
aothundepsg.com,ERR,"HTTPSConnectionPool(host='aothundepsg.com', port=443): Max retries exceeded with"
aothungame.vn,ERR,"HTTPSConnectionPool(host='aothungame.vn', port=443): Max retries exceeded with u"
apnews.com,200,https://apnews.com/
appwe.vn,ERR,"HTTPSConnectionPool(host='appwe.vn', port=443): Max retries exceeded with url: /"
aquila-style.com,200,https://aquila-style.com/
arcencielhotel.com.vn,200,https://arcencielhotel.com.vn/
atmganday.net,ERR,"HTTPSConnectionPool(host='atmganday.net', port=443): Max retries exceeded with u"
atotalnews.com,200,https://atotalnews.com/
autopro.com.vn,200,https://autopro.com.vn/
avinowines.vn,ERR,"HTTPSConnectionPool(host='avinowines.vn', port=443): Max retries exceeded with u"
bacninhtoplist.com,200,https://bacninhtoplist.com/
banawa.com.vn,ERR,"HTTPSConnectionPool(host='banawa.com.vn', port=443): Max retries exceeded with u"
banchungcumini.vn,200,https://banchungcumini.vn/
banobagi.com.vn,ERR,"HTTPSConnectionPool(host='banobagi.com.vn', port=443): Max retries exceeded with"
banptktcn-ninhbinh.vn,200,https://banptktcn-ninhbinh.vn/
banvatlieuxaydung.net,200,https://banvatlieuxaydung.net/
baoangiang.com.vn,200,https://baoangiang.com.vn/
baobihoatrung.com.vn,200,https://baobihoatrung.com.vn/
baocamau.vn,200,https://baocamau.vn/
baocantho.com.vn,200,https://baocantho.com.vn/
baocaobang.vn,200,https://baocaobang.vn/
baocaobang.vn BÁO MỚI VỀ,ERR,Failed to parse: https://baocaobang.vn BÁO MỚI VỀ
baodaklak.vn,200,https://baodaklak.vn/
baodanang.vn,200,https://baodanang.vn/
baodautu.vn,200,https://baodautu.vn/
baodienbienphu.com.vn,ERR,"HTTPSConnectionPool(host='baodienbienphu.com.vn', port=443): Max retries exceede"
baodienbienphu.vn,200,https://baodienbienphu.vn/
baodongnai.com.vn,200,https://baodongnai.com.vn/
baodongthap.vn,200,https://baodongthap.vn/
baogialai.com.vn,200,https://baogialai.com.vn/
baohatinh.vn,200,https://baohatinh.vn/
baohungyen.vn,200,https://baohungyen.vn/
baolamdong.vn,200,https://baolamdong.vn/
baolangson.vn,200,https://baolangson.vn/
