"Kính gửi Quý Khách hàng và Đối tác!
 BẢNG BÁO GIÁ BOOK BÀI PR BÁO ĐIỆN TỬ CHÍNH THỐNG STT","SITE","CÔNG TY TNHH PINNEXA RISE MEDIA  Mail: admin.pinnexarise@gmail.com Phone: 0865452568 (Available on Zalo) Địa chỉ: Tầng 1, V11-B09 Khu đô thị mới An Hưng, Phường Dương Nội, Thành phố Hà Nội, Việt Nam. STK: 23956868 - Tại Ngân hàng Thương Mại cổ phần Kỹ Thương Việt Nam (Techcombank) - Chi nhánh Nguyễn Cơ Thạch Tất cả báo giá WEBSITE","https://drive.google.com/drive/folders/1nniNfWWgE9fEARsTaLk9gW7M8BLwP_g9 DANH MỤC - VỊ TRÍ","SỐ LƯỢNG"," NIÊM YẾT","CHIẾU KHẤU","THÀNH TIỀN","SỐ LINK","GHI CHÚ","","","","","","","","","","","","","",""
"1","Vnexpress","https://vnexpress.net/","Doanh nghiệp viết - tổn tại 6 tháng","1","10.000.000","34,0%","6.600.000","2-3 link","Bài PR dưới 1000 từ, dưới 3 ảnh; 2-3 link
Kèm tối đa 3 ảnh minh họa, yêu cầu ảnh không thiết kế, không logo, không bắn chữ
Title 13-14 từ","","","","","","","","","","","","","",""
"","","","Doanh nghiệp viết - tổn tại 2 năm","1","15.000.000","34,0%","9.900.000","","","","","","","","","","","","","","","",""
"","","","Doanh nghiệp viết - không giới hạn thời hạn","1","20.000.000","34,0%","13.200.000","","","","","","","","","","","","","","","",""
"","","","Tiểu mục (du lịch, số hoá, ý kiến, tâm sự, xe)","1","10.000.000","34,0%","6.600.000","","","","","","","","","","","","","","","",""
"","","","Tiểu mục (giáo dục, khoa học)","1","12.000.000","34,0%","7.920.000","","","","","","","","","","","","","","","",""
"","","","Thông tin doanh nghiệp","1","15.000.000","34,0%","9.900.000","","","","","","","","","","","","","","","",""
"","","","Tiểu mục (thể thao, giải trí, sức khoẻ, đời sống)","1","15.000.000","34,0%","9.900.000","","","","","","","","","","","","","","","",""
"","","","Top 3,4,5 chuyên mục trên trang chủ Bất động sản","1","40.000.000","34,0%","26.400.000","","","","","","","","","","","","","","","",""
"","","","Top 3,4,5 chuyên mục trên trang chủ kinh doanh","1","50.000.000","34,0%","33.000.000","","","","","","","","","","","","","","","",""
"","","","Banner","","","34,0%","0","","","","","","","","","","","","","","","",""
