domain,title,nhom,gia_cao_nhat,post_id,status
hanoitimes.vn,hanoitimes.vn,mua-textlink,12000001400000,3479,issue:gia-loi-du-lieu-nhieu-bac-gop-lai
forbes.com,forbes.com,backlink-quoc-te,242892000,1974,
entrepreneur.com,entrepreneur.com,backlink-quoc-te,131040000,1978,
nytimes.com,nytimes.com,backlink-quoc-te,120089000,1979,
bloomberg.com,bloomberg.com,backlink-quoc-te,78000000,1984,
cnbc.com,cnbc.com,backlink-quoc-te,74880000,1988,
usatoday.com,usatoday.com,backlink-quoc-te,74880000,1985,
wsj.com,wsj.com,backlink-quoc-te,74880000,1986,
bbc.com,bbc.com,backlink-quoc-te,74880000,1987,
vietcetera.com,vietcetera.com,booking-bao-pr,42750000,3432,done
msn.com,msn.com,backlink-quoc-te,28080000,1997,
cnet.com,cnet.com,backlink-quoc-te,26208000,1998,
vietnam.travel,vietnam.travel,guest-post,25000000,1740,
businessinsider.com,businessinsider.com,backlink-quoc-te,23369000,2001,
vietnamplus.vn,vietnamplus.vn,booking-bao-pr,19400000,3433,done
news.yahoo.com,news.yahoo.com,backlink-quoc-te,18408000,2006,
brandsvietnam.com,brandsvietnam.com,booking-bao-pr,17300000,3320,issue:blocked-cloudflare
dep.com.vn,dep.com.vn,booking-bao-pr,17000000,3434,issue:blocked-firewall
advertisingvietnam.com,advertisingvietnam.com,booking-bao-pr,15810000,3436,issue:blocked-cloudflare
vnreview.vn,vnreview.vn,booking-bao-pr,15810000,3437,done
kênh 14.vn,Kênh 14.vn,booking-bao-pr,15660000,3321,issue:trung-toa-soan-voi-kenh14vn-da-co-anh
cand.com.vn,cand.com.vn,booking-bao-pr,15000000,3438,done
benzinga.com,benzinga.com,backlink-quoc-te,14040000,2011,
báo pháp luật plo.vn,Báo pháp luật Plo.vn,booking-bao-pr,14000000,3439,issue:outlet-closed-36nam-khep-lai
techrum.vn,techrum.vn,booking-bao-pr,13950000,3440,done
specstalk.com,specstalk.com,guest-post,13400000,2818,
digitalgamersdream.com,digitalgamersdream.com,guest-post,13400000,2819,
crisisshelter.org,crisisshelter.org,guest-post,13400000,2820,
fkgoldstandard.com,fkgoldstandard.com,guest-post,13400000,2821,
jimmeyerracing.com,jimmeyerracing.com,guest-post,13400000,2822,
proreviewbuzz.com,proreviewbuzz.com,guest-post,13400000,2823,
hiroasiankitchen.com,hiroasiankitchen.com,guest-post,13400000,2824,
smokinjoesribranch.com,smokinjoesribranch.com,guest-post,13400000,2825,
whatmouse.com,whatmouse.com,guest-post,13400000,2826,
pensacolavoice.com,pensacolavoice.com,guest-post,13400000,2827,
baodautu.vn,baodautu.vn,booking-bao-pr,13090000,3441,done
vov.vn,vov.vn,booking-bao-pr,12750000,3442,done
vir.com.vn,vir.com.vn,booking-bao-pr,12000000,3443,done
nhipcaudautu.vn,nhipcaudautu.vn,booking-bao-pr,11500000,1643,done
tieudung.vn,tieudung.vn,booking-bao-pr,11400000,3444,done
tinhte.vn,tinhte.vn,booking-bao-pr,10900000,1081,done
apnews.com,apnews.com,backlink-quoc-te,10608000,2027,
genk.vn,Genk.vn,booking-bao-pr,10100000,1040,done
tcnhadep.com,tcnhadep.com,booking-bao-pr,10000000,3445,issue:ssl-cert-invalid
phapluatnet.vn,phapluatnet.vn,booking-bao-pr,10000000,3446,issue:dns-not-found-domain-chet
phapluatxahoi.vn,phapluatxahoi.vn,booking-bao-pr,10000000,3447,issue:domain-chet-timeout-redirect-kinhtedothi
vietnamtourism.gov.vn,vietnamtourism.gov.vn,guest-post,10000000,1741,
kenh14.vn,kenh14.vn,booking-bao-pr,9980000,1020,done
doanhnhan.vn,doanhnhan.vn,booking-bao-pr,9960000,3448,done
znews.vn,znews.vn,booking-bao-pr,9280000,3449,done
dantri.com.vn,Dantri.com.vn,booking-bao-pr,9080000,1005,done
baophapluat.vn,baophapluat.vn,booking-bao-pr,9000000,3452,done
autopro.com.vn,Autopro.com.vn,booking-bao-pr,8600000,1016,done
vietnamnet.vn,vietnamnet.vn,booking-bao-pr,8500000,1738,done
vaporizero.com,vaporizero.com,guest-post,8400000,2828,
overlookpress.com,overlookpress.com,guest-post,8400000,2829,
soundhealthdoctor.com,soundhealthdoctor.com,guest-post,8400000,2830,
truckslane.com,truckslane.com,guest-post,8400000,2831,
logicaldaily.com,logicaldaily.com,guest-post,8400000,2832,
reportsherald.com,reportsherald.com,guest-post,8400000,2833,
truckszilla.com,truckszilla.com,guest-post,8400000,2834,
empiremovies.com,empiremovies.com,guest-post,8400000,2835,
weddingstats.org,weddingstats.org,guest-post,8400000,2836,
formulasantander.com,formulasantander.com,guest-post,8400000,2837,
thebestbuyguide.com,thebestbuyguide.com,guest-post,8400000,2838,
aquila-style.com,aquila-style.com,guest-post,8400000,2839,
californiabeat.org,californiabeat.org,guest-post,8400000,2840,
thezenuniverse.org,thezenuniverse.org,guest-post,8400000,2841,
justicesnows.com,justicesnows.com,guest-post,8400000,2842,
aktinmotion.com,aktinmotion.com,guest-post,8400000,2843,
alongtheboards.com,alongtheboards.com,guest-post,8400000,2844,
machovibes.com,machovibes.com,guest-post,8400000,2845,
mantavya.com,mantavya.com,guest-post,8400000,2846,
luxrender.net,luxrender.net,guest-post,8400000,2847,
richannel.org,richannel.org,guest-post,8400000,2848,
comeaucomputing.com,comeaucomputing.com,guest-post,8400000,2849,
howtosucceedbroadway.com,howtosucceedbroadway.com,guest-post,8400000,2850,
ilawjournals.com,ilawjournals.com,guest-post,8400000,2851,
marketsharegroup.com,marketsharegroup.com,guest-post,8400000,2852,
digitby.com,digitby.com,guest-post,8400000,2853,
firedout.com,firedout.com,guest-post,8400000,2854,
fergusonaction.com,fergusonaction.com,guest-post,8400000,2855,
weirdworm.com,weirdworm.com,guest-post,8400000,2856,
pmcaonline.org,pmcaonline.org,guest-post,8400000,2857,
thewashingtonnote.com,thewashingtonnote.com,guest-post,8400000,2858,
mp3newswire.net,mp3newswire.net,guest-post,8400000,2859,
thevideoink.com,thevideoink.com,guest-post,8400000,2860,
scholarlyoa.com,scholarlyoa.com,guest-post,8400000,2861,
musicraiser.com,musicraiser.com,guest-post,8400000,2862,
feri.org,feri.org,guest-post,8400000,2863,
gforgames.com,gforgames.com,guest-post,8400000,2864,
jaxtr.com,jaxtr.com,guest-post,8400000,2865,
