Keyword,Intent,Volume,Trend,Keyword Difficulty,SERP Features
bài pr,Informational,110,"0.43,1.00,0.33,0.52,0.52,0.81,0.43,0.33,0.10,0.33,0.43,0.52",12,"Sitelinks, Video, Video carousel, Related searches"
dịch vụ viết bài pr,Informational,90,"0.04,0.04,0.04,0.00,0.15,1.00,1.00,0.42,0.81,0.81,0.04,0.04",5,"Sitelinks, AI Overview, Video, Related searches"
bài pr doanh nghiệp,Informational,30,"1.00,0.56,0.11,0.11,0.11,0.11,1.00,0.22,0.11,0.11,0.11,0.11",7,"Sitelinks, AI Overview, Image, Video, Related searches"
bài pr mẫu,Informational,30,"0.56,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.78,1.00,0.11,0.11",6,"Sitelinks, Reviews, Image, Image pack, Video, Related searches"
bài pr sản phẩm mới,Informational,30,"0.11,1.00,0.56,0.11,0.22,0.11,0.11,0.56,0.22,0.11,0.22,0.11",5,"Sitelinks, Video, Related searches"
bài pr thương hiệu,Informational,30,"0.11,0.33,0.22,1.00,0.11,0.11,0.11,1.00,0.11,0.11,0.22,0.33",9,"Sitelinks, Image, Video, Video carousel, Related searches"
báo giá bài pr vnexpress,,30,"0.11,0.11,0.11,0.11,0.78,0.11,0.22,1.00,0.11,0.11,0.11,0.56",,
báo giá đăng bài pr trên kenh14,,30,"0.14,0.14,0.71,0.29,0.14,0.14,0.14,0.29,0.57,0.71,0.14,1.00",,
cách viết bài pr,Informational,30,"1.00,0.11,0.11,0.11,1.00,0.11,0.78,0.11,0.11,0.11,0.44,0.11",8,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
cách viết bài pr cho sản phẩm,,30,"0.29,0.29,0.14,0.29,0.57,0.57,0.14,0.14,0.14,0.29,0.43,1.00",,
cách viết bài pr sản phẩm,,30,"0.14,0.14,1.00,0.71,0.57,0.14,0.14,0.14,0.14,0.29,1.00,0.29",,
công thức viết bài pr,Informational,30,"0.11,1.00,0.11,0.11,0.11,0.22,0.11,0.22,0.11,0.56,0.11,0.11",9,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cấu trúc bài pr,Informational,30,"0.71,0.14,0.14,0.29,0.57,1.00,0.14,0.14,0.14,0.29,0.14,0.14",8,"Sitelinks, AI Overview, Reviews, Image pack, Video, Related searches"
kỹ năng viết bài pr,,30,"0.22,0.56,0.11,0.22,0.11,0.22,0.11,0.22,0.11,0.11,0.78,1.00",,
viết bài pr là gì,,30,"0.11,1.00,0.11,0.11,0.33,0.78,0.11,0.11,0.11,0.11,0.11,0.56",,
đăng bài pr,,30,"0.11,0.11,0.22,0.11,1.00,0.11,0.11,0.22,0.11,1.00,0.11,0.33",,
book bài pr,,20,"1.00,0.43,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.29",,
bài báo pr,,20,"0.25,0.75,0.25,0.25,0.50,0.25,0.25,1.00,0.25,0.25,0.25,0.25",,
bài mẫu pr bản thân bằng tiếng nhật,,20,"0.29,1.00,0.43,0.57,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.57",,
bài pr cho doanh nghiệp,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.43,0.14,1.00,0.29,0.14",,
bài pr hay,,20,"0.22,0.11,0.11,0.33,1.00,0.11,0.44,0.11,0.22,0.11,0.11,0.11",,
bài pr là gì,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.71,0.14,0.57",,
bài pr theo công thức pas,,20,"0.20,0.20,1.00,0.20,0.20,0.80,0.60,0.40,0.20,0.20,0.20,0.20",,
bài viết pr,,20,"0.14,0.14,0.43,0.14,0.14,0.57,0.14,1.00,0.29,0.29,0.29,0.14",,
bài viết pr spa,,20,"0.14,1.00,0.14,0.14,0.14,0.14,0.71,0.14,0.14,0.14,0.29,0.14",,
bài viết pr sản phẩm,,20,"0.50,0.25,0.25,0.25,0.50,1.00,0.25,0.25,0.50,0.25,0.75,0.25",,
bài viết pr về du lịch,,20,"0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,
bài viết pr về sản phẩm,,20,"0.50,0.25,0.25,0.25,0.75,1.00,0.25,0.25,0.25,0.25,0.25,0.25",,
báo giá bài pr,,20,"0.11,0.22,0.11,0.22,0.44,0.22,0.22,0.11,0.11,0.22,1.00,0.22",,
báo giá bài pr 24h,,20,"0.14,0.00,0.14,0.00,0.00,1.00,0.29,1.00,0.14,0.14,0.00,0.00",,
báo giá bài pr cafef,,20,"0.40,0.20,0.20,0.20,0.60,0.20,1.00,0.20,0.20,1.00,1.00,0.20",,
báo giá bài pr kenh14,,20,"0.00,1.00,0.00,0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.40,0.00",,
báo giá bài pr trên vnexpress,,20,"0.11,0.11,0.22,0.22,0.11,0.11,0.33,0.11,1.00,0.11,0.44,0.11",,
báo giá bài pr vietnamnet,,20,"0.33,1.00,0.67,0.33,0.33,0.33,1.00,1.00,0.33,0.33,0.33,0.33",,
báo giá viết bài pr,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11,1.00,1.00",,
chi phí viết bài pr,,20,"0.75,1.00,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.50",,
các bài pr mẫu,,20,"0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.33,1.00,0.33,0.67,0.67",,
các dạng bài pr,,20,"0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.80,0.40,0.60,0.20",,
cách viết bài pr cho doanh nghiệp,,20,"0.20,0.20,0.80,0.20,0.20,0.20,0.60,0.20,0.80,0.20,0.20,1.00",,
cách viết bài pr trên facebook,,20,"1.00,0.00,0.11,0.33,0.56,0.33,0.00,0.11,0.00,0.00,0.00,0.22",,
giá bài pr,,20,"0.29,0.14,0.14,0.14,0.57,0.43,1.00,0.29,0.14,0.14,0.14,0.14",,
giá đăng bài pr,,20,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14",,
mẫu bài viết pr sự kiện,,20,"0.14,0.14,0.29,0.29,0.14,0.14,1.00,0.14,0.29,0.29,0.29,0.43",,
