domain,dr
24h.com.vn,83.0
2sao.vn,58.0
3dsmax.com.vn,0.0
actionenglish.vn,1.2
advertisingvietnam.com,61.0
afamily.vn,77.0
aktinmotion.com,33.0
alobacsi.com,68.0
alongtheboards.com,35.0
amthuc10phut.vn,3.5
angiangtoplist.com,4.0
angiangtv.vn,20.0
anninhthudo.vn,73.0
apnews.com,92.0
aquila-style.com,35.0
arcencielhotel.com.vn,15.0
atotalnews.com,4.1
autopro.com.vn,62.0
avinowines.vn,7.0
bacninhtoplist.com,8.0
banawa.com.vn,3.6
banchungcumini.vn,2.0
banptktcn-ninhbinh.vn,0.5
banvatlieuxaydung.net,0.0
baoangiang.com.vn,68.0
baobihoatrung.com.vn,1.5
baocamau.vn,58.0
baocantho.com.vn,67.0
baocaobang.vn,37.0
baodaklak.vn,57.0
baodanang.vn,73.0
baodautu.vn,79.0
baodienbienphu.com.vn,36.0
baodienbienphu.vn,32.0
baodongnai.com.vn,71.0
baodongthap.vn,53.0
baogialai.com.vn,70.0
baohatinh.vn,71.0
baohungyen.vn,51.0
baolamdong.vn,70.0
baolangson.vn,53.0
baolaocai.vn,58.0
baonghean.vn,70.0
baophapluat.vn,75.0
baophutho.vn,59.0
baoquangninh.vn,69.0
baoquocte.vn,72.0
baotayninh.vn,69.0
baothainguyen.vn,68.0
baothanhhoa.vn,66.0
baothuathienhue.vn,61.0
baotuyenquang.com.vn,66.0
baovanhoa.vn,66.0
baovinhlong.com.vn,47.0
baoxaydung.com.vn,72.0
baoxaydung.vn,77.0
barefootsworld.net,46.0
bariavungtautourism.com.vn,26.0
bau.vn,40.0
beginagainfilm.com,23.0
bentretoplist.com,9.0
benzinga.com,87.0
betong.net.vn,26.0
bienphong.com.vn,62.0
bietdienhotel.com.vn,31.0
binhdinhtoplist.com,8.0
binhduongreview.vn,14.0
binhduongtoplist.com,9.0
bkcare.vn,6.0
bomotnanggialai.vn,2.3
bongdaplus.vn,65.0
brandsvietnam.com,71.0
btlondonlive.com,24.0
businessinsider.com,92.0
cacanhnho.com,0.0
cafebiz.vn,77.0
cafedautu.vn,33.0
cafef.vn,83.0
cafeland.vn,78.0
californiabeat.org,17.0
camnangsuckhoeso.net,3.6
cand.com.vn,73.0
casiostore.vn,8.0
caycongtrinh24h.vn,0.0
cbdgain.com,1.6
chickenla-e.vn,3.7
chohaisanonline.vn,0.2
chonthuonghieu.com,7.0
chuabaidinhninhbinh.vn,19.0
chungcuhungthinhlinhdam.com.vn,0.7
chungcumuongthanh.net.vn,5.0
ciicentral.com,4.2
cnbc.com,92.0
cnet.com,91.0
cobid.org,1.3
coldsoulsthemovie.com,10.0
comeaucomputing.com,51.0
comentarium.com,3.2
congan.com.vn,70.0
congluan.vn,67.0
