domain,dr
tieudung.vn,48
tiin.vn,61
timbatdongsan.vn,0
tinhocduykhang.com,8
tinhte.vn,79
tinthethao.com.vn,51
tocotocotanan.com,0.2
top10binhduong.com.vn,0.1
top10binhphuoc.vn,0.4
top10binhthuan.vn,2.7
top10camau.vn,0.4
top10danang.com,43
top10quangnam.vn,0.1
top10quangngai.vn,0.6
top10riviu.com,4.8
topaz.vn,47
topbinhduong.com,9
topblognews.com,22
topdongnai.com,8
tophaiphong.com,12
toplistcantho.com,15
toplistdanang.com,26
toplisthanoi.com,27
toplistsaigon.com,18
toplistviet.org,0
topone.edu.vn,18
toptonghop.com,1.6
trangphucchothue.vn,9
travelist.vn,11
truckslane.com,0.2
truckszilla.com,0.4
trungtamytedian.com,0.5
truyenhinhnghean.vn,47
truyenthongvaphattrien.vn,8
tuoitre.vn,86
tuoitrexahoi.vn,38
tuongda.com.vn,0
ubeauty.vn,7
unikmart.com.vn,0
uyenuong.net,32
vangduymong.com,0
vangkimchung.net,0
vanhoathoidai.vn,33
vanhoavadoisong.vn,27
vanhoavaphattrien.vn,55
vaporizero.com,2.4
vethan.vn,0.9
vetranhtuongviet.vn,7
vietbao.vn,71
vietcetera.com,70
vietnam.travel,74
vietnambiz.vn,75
vietnamhuongsac.vn,11
vietnammoi.vn,66
vietnamnet.vn,86
vietnamplus.vn,81
vietnamtop10.net,1.5
vietnamtourism.gov.vn,73
vietnamtuoidep.net,0
vietpost.com.vn,0
vietq.vn,70
vietstock.vn,75
vinfastgiatot.com.vn,0
vinhlongtoplist.com,2.9
vinhomescoloa.com.vn,3.2
vir.com.vn,74
vivuxuyenviet.net,3.8
vneconomy.vn,79
vnexpress.net,90
vnfinance.vn,32
vnreview.vn,63
vtcnews.vn,75
vtv.vn,82
vuongquoctranh.com,3.0
warrantek.vn,7
webnewswires.com,4.4
webtretho.com,70
weddingstats.org,37
weirdworm.com,31
wetechmedia.com,0
wikitechno.de,9
wikithammy.com,76
xahoi.com.vn,2.4
xaluannews.com,35
xaynhadep.com.vn,56
xedienmanhphat.com,39
yan.vn,9
yeah1.com,5
whatmouse.com,69
wiki.batdongsan.com.vn,59
zeldabeauty.com,2.0
zerohedge.com,80
znews.vn,78
