domain,trang_thai,chi_tiet
batdongsan.com.vn,BLOCKED,"HTTP 403 (co the chan bot, khong chac chet)"
bloomberg.com,BLOCKED,"HTTP 403 (co the chan bot, khong chac chet)"
streetinsider.com,BLOCKED,"HTTP 403 (co the chan bot, khong chac chet)"
usatoday.com,BLOCKED,"HTTP 403 (co the chan bot, khong chac chet)"
vov.vn,BLOCKED,"HTTP 403 (co the chan bot, khong chac chet)"
24hexpress.vn,DEAD_DOMAIN,khong resolve DNS
6streamsxy.com,DEAD_DOMAIN,khong resolve DNS
7starhd.la,DEAD_DOMAIN,khong resolve DNS
adoreyou.vn,DEAD_DOMAIN,khong resolve DNS
ambalgvn.org.vn,DEAD_DOMAIN,khong resolve DNS
anhsang.edu.vn,DEAD_DOMAIN,khong resolve DNS
animestore.vn,DEAD_DOMAIN,khong resolve DNS
aocuoimoc.vn,DEAD_DOMAIN,khong resolve DNS
aothundepsg.com,DEAD_DOMAIN,khong resolve DNS
aothungame.vn,DEAD_DOMAIN,khong resolve DNS
atmganday.net,DEAD_DOMAIN,khong resolve DNS
banobagi.com.vn,DEAD_DOMAIN,khong resolve DNS
basicact.com,DEAD_DOMAIN,khong resolve DNS
batdongsan49.vn,DEAD_DOMAIN,khong resolve DNS
batterydown.vn,DEAD_DOMAIN,khong resolve DNS
besti.vn,DEAD_DOMAIN,khong resolve DNS
betongtuoi.net.vn,DEAD_DOMAIN,khong resolve DNS
bhfood.vn,DEAD_DOMAIN,khong resolve DNS
brgrubytreegolf.vn,DEAD_DOMAIN,khong resolve DNS
bvtkontum.com.vn,DEAD_DOMAIN,khong resolve DNS
cadasa.vn,DEAD_DOMAIN,khong resolve DNS
cafeganday.com,DEAD_DOMAIN,khong resolve DNS
caymotuthan.vn,DEAD_DOMAIN,khong resolve DNS
cdchaugiang.org.vn,DEAD_DOMAIN,khong resolve DNS
cdctuyenquang.vn,DEAD_DOMAIN,khong resolve DNS
chichiemem.vn,DEAD_DOMAIN,khong resolve DNS
chocanh.vn,DEAD_DOMAIN,khong resolve DNS
chonongsankhanhhoa.vn,DEAD_DOMAIN,khong resolve DNS
chuthapdoquangninh.org.vn,DEAD_DOMAIN,khong resolve DNS
colkidsclub.vn,DEAD_DOMAIN,khong resolve DNS
congdoanvienchucvn.org.vn,DEAD_DOMAIN,khong resolve DNS
cozabebe.vn,DEAD_DOMAIN,khong resolve DNS
customcat.vn,DEAD_DOMAIN,khong resolve DNS
cuuhoxe.vn,DEAD_DOMAIN,khong resolve DNS
cuuhoxemayhanoi.vn,DEAD_DOMAIN,khong resolve DNS
dacnguyen.vn,DEAD_DOMAIN,khong resolve DNS
daihocluathn.edu.vn,DEAD_DOMAIN,khong resolve DNS
dangkiem5006v.com.vn,DEAD_DOMAIN,khong resolve DNS
daotaoquoctedhxd.edu.vn,DEAD_DOMAIN,khong resolve DNS
datnuoc.com.vn,DEAD_DOMAIN,khong resolve DNS
dichvu3gmobifone.vn,DEAD_DOMAIN,khong resolve DNS
doanhnhanonile.com.vn,DEAD_DOMAIN,khong resolve DNS
doanhnhanphuonghoang.vn,DEAD_DOMAIN,khong resolve DNS
dotary.vn,DEAD_DOMAIN,khong resolve DNS
duchenangngoaitroi.net,DEAD_DOMAIN,khong resolve DNS
duongbo.vn,DEAD_DOMAIN,khong resolve DNS
enetviet.edu.vn,DEAD_DOMAIN,khong resolve DNS
f0.phutho.vn,DEAD_DOMAIN,khong resolve DNS
familyfruits.com.vn,DEAD_DOMAIN,khong resolve DNS
fixi.vn,DEAD_DOMAIN,khong resolve DNS
forbesrumor.com,DEAD_DOMAIN,khong resolve DNS
foxnewbrand.com,DEAD_DOMAIN,khong resolve DNS
gart.vn,DEAD_DOMAIN,khong resolve DNS
gayleesinshop.vn,DEAD_DOMAIN,khong resolve DNS
gayviet.vn,DEAD_DOMAIN,khong resolve DNS
gemstech.com.vn,DEAD_DOMAIN,khong resolve DNS
giaidap.com.vn,DEAD_DOMAIN,khong resolve DNS
giaxemoto.com.vn,DEAD_DOMAIN,khong resolve DNS
gionghatvietnhi.com.vn,DEAD_DOMAIN,khong resolve DNS
giovangthethao.vn,DEAD_DOMAIN,khong resolve DNS
glutawhite.vn,DEAD_DOMAIN,khong resolve DNS
goldencentercity.vn,DEAD_DOMAIN,khong resolve DNS
golist.vn,DEAD_DOMAIN,khong resolve DNS
grande.edu.vn,DEAD_DOMAIN,khong resolve DNS
greenedu.vn,DEAD_DOMAIN,khong resolve DNS
hachikopetshop.vn,DEAD_DOMAIN,khong resolve DNS
hanoiparagon.vn,DEAD_DOMAIN,khong resolve DNS
haquangtv.vn,DEAD_DOMAIN,khong resolve DNS
hconnect.vn,DEAD_DOMAIN,khong resolve DNS
hdgoffice.vn,DEAD_DOMAIN,khong resolve DNS
hieugoogle.vn,DEAD_DOMAIN,khong resolve DNS
himlamresort.vn,DEAD_DOMAIN,khong resolve DNS
hoangvietauto.vn,DEAD_DOMAIN,khong resolve DNS
hoivietnamduc.vn,DEAD_DOMAIN,khong resolve DNS
huyendoannongson.vn,DEAD_DOMAIN,khong resolve DNS
hytcc.org.vn,DEAD_DOMAIN,khong resolve DNS
inail.vn,DEAD_DOMAIN,khong resolve DNS
ironman.vn,DEAD_DOMAIN,khong resolve DNS
khafa.org.vn,DEAD_DOMAIN,khong resolve DNS
khoahocvacuocsong.vn,DEAD_DOMAIN,khong resolve DNS
khudothivinhomes.com.vn,DEAD_DOMAIN,khong resolve DNS
kiemlamthuathienhue.org.vn,DEAD_DOMAIN,khong resolve DNS
kilu.vn,DEAD_DOMAIN,khong resolve DNS
leminhhoang.vn,DEAD_DOMAIN,khong resolve DNS
likevape.vn,DEAD_DOMAIN,khong resolve DNS
lmhoptacxatthue.com.vn,DEAD_DOMAIN,khong resolve DNS
luatdainam.vn,DEAD_DOMAIN,khong resolve DNS
luxtoy.vn,DEAD_DOMAIN,khong resolve DNS
magiamgia247.vn,DEAD_DOMAIN,khong resolve DNS
mallumv.info,DEAD_DOMAIN,khong resolve DNS
mamnonabc.vn,DEAD_DOMAIN,khong resolve DNS
manayi.vn,DEAD_DOMAIN,khong resolve DNS
manta.edu.vn,DEAD_DOMAIN,khong resolve DNS
mcstore.vn,DEAD_DOMAIN,khong resolve DNS
memedaily.vn,DEAD_DOMAIN,khong resolve DNS
mende.vn,DEAD_DOMAIN,khong resolve DNS
mercedess-benz.com.vn,DEAD_DOMAIN,khong resolve DNS
minhchautattoo.vn,DEAD_DOMAIN,khong resolve DNS
mmagym.vn,DEAD_DOMAIN,khong resolve DNS
mof.com.vn,DEAD_DOMAIN,khong resolve DNS
moviesverse.la,DEAD_DOMAIN,khong resolve DNS
mrsun.vn,DEAD_DOMAIN,khong resolve DNS
my7up.vn,DEAD_DOMAIN,khong resolve DNS
nguyenhien.edu.vn,DEAD_DOMAIN,khong resolve DNS
nhahangbachkim.com,DEAD_DOMAIN,khong resolve DNS
nhahangganday.vn,DEAD_DOMAIN,khong resolve DNS
nhahangminhkhue.com,DEAD_DOMAIN,khong resolve DNS
niengrangthammy.com.vn,DEAD_DOMAIN,khong resolve DNS
onesteak.vn,DEAD_DOMAIN,khong resolve DNS
onghutcobang.vn,DEAD_DOMAIN,khong resolve DNS
opal-cityview.vn,DEAD_DOMAIN,khong resolve DNS
oppostyle.vn,DEAD_DOMAIN,khong resolve DNS
otothongphat.vn,DEAD_DOMAIN,khong resolve DNS
parami.vn,DEAD_DOMAIN,khong resolve DNS
parkriversides.vn,DEAD_DOMAIN,khong resolve DNS
