Keyword,Intent,Volume,Trend,Keyword Difficulty,Competitive Density
báo giá pr vnexpress,Informational,40,"0.33,0.11,0.22,1.00,0.56,0.44,0.44,0.56,0.11,0.11,0.78,0.22",6,0.31
báo giá bài pr vnexpress,,30,"0.11,0.11,0.11,0.11,0.78,0.11,0.22,1.00,0.11,0.11,0.11,0.56",,0.06
báo giá đăng bài pr trên kenh14,,30,"0.14,0.14,0.71,0.29,0.14,0.14,0.14,0.29,0.57,0.71,0.14,1.00",,0.33
báo pr,,30,"0.44,0.56,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,1.00",,0.16
dịch vụ pr báo chí,Informational,30,"0.14,0.14,0.14,0.14,1.00,0.57,0.57,0.14,0.14,0.43,0.14,0.14",10,0.51
pr trên báo,,30,"0.22,0.11,1.00,0.11,0.11,0.33,0.56,0.11,0.11,0.11,0.11,0.56",,0.29
pr trên báo chí,Informational,30,"0.11,0.11,0.11,1.00,0.11,0.11,0.78,0.78,0.11,0.11,0.11,0.44",3,0.50
so sánh pr và báo chí,,30,"0.11,0.11,0.11,0.11,0.11,1.00,0.56,0.56,0.11,0.33,0.33,0.11",,0.33
book báo pr,,20,"0.20,0.20,0.20,1.00,0.60,0.60,0.20,0.20,0.20,1.00,0.20,0.80",,0.53
bài báo pr,,20,"0.25,0.75,0.25,0.25,0.50,0.25,0.25,1.00,0.25,0.25,0.25,0.25",,0.33
báo giá bài pr,,20,"0.11,0.22,0.11,0.22,0.44,0.22,0.22,0.11,0.11,0.22,1.00,0.22",,0.45
báo giá bài pr 24h,,20,"0.14,0.00,0.14,0.00,0.00,1.00,0.29,1.00,0.14,0.14,0.00,0.00",,0.00
báo giá bài pr cafef,,20,"0.40,0.20,0.20,0.20,0.60,0.20,1.00,0.20,0.20,1.00,1.00,0.20",,0.03
báo giá bài pr kenh14,,20,"0.00,1.00,0.00,0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.40,0.00",,0.00
báo giá bài pr trên vnexpress,,20,"0.11,0.11,0.22,0.22,0.11,0.11,0.33,0.11,1.00,0.11,0.44,0.11",,0.07
