"STT","Đầu báo","vị trí ","GIÁ GỐC","GIÁ KHUYẾN MÃI"," SỐ LINK ","YÊU CẦU","GHI CHÚ","","",""
"1","24h.com.vn","Bài PR loại 2( TTTD,KD)","6.000.000","4.500.000"," 3 link no ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","Bài PR loại 2 Mục còn lại","5.000.000","3.800.000"," 3 link no ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","PR loại 1 (2h trang chủ)","9.000.000","7.300.000"," 3 link no ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"2","Dantri.com.vn","Tiểu mục Nhóm 2","13.000.000","9.200.000"," Mua 500k/link - 3 link 1tr ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Tiểu mục Nhóm 1","15.000.000","10.500.000"," Mua 500k/link - 3 link 1tr ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"3","Vnexpress.net","Giáo dục, số hóa","12.000.000","9.200.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Doanh nghiệp viết 1 - tồn tại 6 tháng","10.000.000","7.800.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Doanh nghiệp viết 2 - tồn tại 24 tháng","15.000.000","11.800.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Doanh nghiệp viết 3 - tồn tại theo domain","20.000.000","15.300.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"4","nguoiquansat.vn","Trang chủ","10.000.000","8.000.000"," 1 link nof (thêm link 500k/link) ","","Bài PR dưới 1800 từ, 5 ảnh","","",""
"","","Chuyên mục","5.000.000","2.900.000"," 1 link nof (thêm link 500k/link) ","","Bài PR dưới 1800 từ, 5 ảnh","","",""
"5","znews.vn","Tiểu mục","10.000.000","7.400.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Tiểu mục","12.000.000","9.400.000","","","","","",""
"6","Autopro.com.vn","Chuyên mục","6.000.000","5.500.000"," 1 link no - thêm link 300k ","Anchortext để 2/3 cuối bài","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"7","","Trang chủ","10.000.000","8.600.000","","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"8","kenh14.vn","Tiểu mục ( Học đường/Công nghệ/Sao/Âm nhạc/Phim)","4.000.000","3.700.000"," 1 link no - thêm link 300k ","","Bài PR dưới 1000 từ, dưới 7 ảnh","","",""
"9","","Xem - Ăn - Chơi","7.000.000","6.100.000","","","Bài PR dưới 1000 từ, dưới 7 ảnh","","",""
"","","Xem-Mua-Luôn/Ăn- Quẩy-Đi/ Beauty&Fashion","8.000.000","6.800.000","","","Bài PR dưới 1000 từ, dưới 7 ảnh","","",""
"10","","Trang Chủ","12.000.000","10.200.000","","","Bài PR dưới 1000 từ, dưới 7 ảnh","","",""
"11","Thanhnien.vn","PR cần biết","4.000.000","3.700.000"," 1link no (thêm 1 link/600k) ","Trên 300 từ tính phí 8.000đ/từ","Bài PR 300 từ, 1 ảnh ","","",""
"","","Tiểu mục phù hợp","17.000.000","15.500.000"," 2 link no  (thêm 1 link/600k) ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"8","Cafebiz.vn","Chuyên Mục","5.000.000","4.500.000"," 1 link no - thêm link 500k ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Bài thương hiệu","9.000.000","7.000.000","","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","Trang chủ","12.000.000","10.500.000","","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"9","CafeF.vn","Box Thông Cáo Báo chí (Trang chủ 1 ngày)","6.000.000","5.400.000"," 1 link no - thêm link 500k ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","Tin doanh nghiệp (Trang chủ 1 ngày)","7.500.000","6.600.000","","","","","",""
"","","Chuyên mục nhóm 2 (CM còn lại)","8.000.000","7.100.000","","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","Chuyên mục 1 ((BDS, DN, Tài Chính - Ngân hàng, Chứng khoán. Smart Money)","12.000.000","10.400.000","","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"10","Cafeland.vn","Tin ngắn","5.000.000","4.800.000","không chèn link","","400 từ, 1 ảnh","","",""
"","","Mục phù hợp","12.000.000","10.800.000"," 1 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"11","Tienphong.vn","bài chuyên mục phù hợp","6.000.000","4.400.000"," Free 1 link đuôi .vn - Mua thêm link 2tr/link ","","Bài PR dưới 800 từ, dưới 2 ảnh","","",""
"12","Vietnamnet.vn","Tiểu mục","6.000.000","5.000.000"," 5tr/link no 3 tháng ","Anchortext để 2/3 cuối bài","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"13","Vietnambiz.vn","Mục phù hợp","3.000.000","2.200.000"," 500k/link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"14","Vietnammoi.vn","Mục phù hợp","3.000.000","2.200.000"," 500k/link no ","","Bài dưới 300 từ, 1 ảnh","","",""
"15","Congluan.vn","chuyên mục phù hợp","5.000.000","4.000.000"," 1 link no ","Trên 200 từ tính phí 10.000đ/từ","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"16","Soha.vn","bài stream tren trang chủ","5.000.000","4.600.000"," 1 link no ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"17","Genk.vn","Chuyên mục","5.000.000","3.700.000"," 1 link no - thêm link 300k ","Anchortext để 2/3 cuối bài","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","Tiểu mục","3.000.000","2.900.000","","","","","",""
"","","Trang chủ","12.000.000","10.100.000","","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"18","vtcnews.vn","Mục doanh nghiệp - doanh nhân","5.000.000","3.400.000"," 1 link no đuôi .vn ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Trang tiểu mục","5.000.000","3.400.000","","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Trang chuyên mục","6.000.000","4.000.000","","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"19","VOV.vn","Mục phù hợp","5.000.000","4.500.000","Không chèn link","Website đăng ký với bộ công thương","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"20","Ngoisao.vnexpress.net","Mục phù hợp","5.000.000","4.500.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"22","Congly.vn","Mục phù hợp","5.000.000","3.600.000"," 500k/Link ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"23","Techz.vn","Mục phù hợp","3.000.000","2.000.000"," 1 link nof ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"25","Eva.vn","Bài hot Tiểu mục","5.000.000","3.700.000"," 3 link no ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"26","Afamily.vn","Chuyên mục","5.000.000","3.800.000"," 1 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"27","Ngoisao.vn","chuyên mục phù hợp","4.000.000","2.900.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"28","Emdep.vn","Mục phù hợp","2.000.000","1.600.000","1 link no","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"29","Dep.com.vn","Mục phù hợp","12.000.000","9.100.000"," 1tr/link ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"30","Saostar.vn","Mục phù hợp","4.000.000","3.200.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"31","Yan.vn","Mục phù hợp","4.500.000","4.500.000","Ko chèn link","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"32","Yeah1.com","Tin chuyên mục","4.000.000","3.500.000"," 1 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"33","Suckhoedoisong.vn","Mục phù hợp","6.000.000","4.000.000"," 1 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"34","Alobacsi.com","Bài loại 7 trang chuyên mục","2.000.000","2.000.000"," 1 link no ","","Bài PR dưới 800 từ, dưới 3 ảnh","","",""
"35","VTV.vn","Mục phù hợp","7.000.000","6.000.000","Ko chèn link","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"","","Mục phù hợp","10.000.000","9.000.000","1 link nof","","","","",""
"36","Giadinhmoi.vn","Mục phù hợp","1.500.000","1.400.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"38","Phunutoday.vn ","Mục phù hợp","4.500.000","4.200.000"," 2 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"39","Phunuvietnam.vn","Mục phù hợp","4.000.000","3.400.000"," 500k/link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"41","Tiin.vn","Mục phù hợp","3.000.000","2.600.000"," 1 link no ","","700 từ ","","",""
"42","tuoitre.vn","Cần biết","8.000.000","6.500.000"," không chèn link ","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"44","Thethao247.vn","Mục phù hợp","4.800.000","4.500.000"," 1 link no ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"45","Giaoducthoidai.vn","Mục phù hợp","6.000.000","5.400.000","1 link no","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"46","Gamek.vn","Chuyên mục","6.000.000","5.300.000","1 link no","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"","","Trang chủ","12.000.000","9.100.000","1 link no","","Bài PR dưới 1000 từ, dưới 5 ảnh","","",""
"47","Laodong.vn","Thông tin doanh nghiệp","8.000.000","6.000.000","3tr/ link","","dưới 700 từ, dưới 3 ảnh","","",""
"48","Thitruong.nld.com.vn","Mục phù hợp","8.000.000","7.000.000","1 link no","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"49","","Tin ngắn","4.000.000","3.600.000","1 link no","","400 từ, 1 ảnh","","",""
"","Congthuong.vn","Tin","8.000.000","7.500.000","free 1 link BBT duyệt","","Bài PR dưới 500 từ, dưới 3 ảnh","","",""
"50","Congan.com.vn","Mục phù hợp","5.000.000","5.500.000"," gắn link 500k/link ","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"51","Vneconomy.vn","Mục phù hợp","10.000.000","7.500.000","không chèn link","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
"52","Baodautu.vn","TT doanh nghiệp","5.000.000","3.900.000","1tr/link no","","Bài PR dưới 1000 từ, dưới 3 ảnh","","",""
