Keyword,Intent,Volume,Trend,Keyword Difficulty,Competitive Density
book báo chí,Informational,110,"0.64,0.79,1.00,1.00,0.79,0.79,0.79,0.79,0.36,0.79,0.64,0.64",12,0.27
booking báo chí,Informational,110,"0.64,0.79,1.00,1.00,0.79,0.79,0.79,0.79,0.36,0.79,0.64,0.64",8,0.27
book báo điện tử,Informational,30,"0.11,0.11,0.56,0.11,0.22,0.56,0.11,1.00,0.56,0.11,0.56,0.00",10,0.00
booking báo vnexpress,Informational,30,"0.57,0.14,0.71,0.14,0.14,0.43,0.71,0.43,0.14,1.00,0.14,0.14",5,0.38
booking báo điện tử,Informational,30,"1.00,0.78,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.22,0.11,0.11",10,0.80
booking quảng cáo báo,Informational,30,"0.78,0.22,0.11,0.22,0.11,0.11,0.11,1.00,0.11,0.33,0.11,0.11",12,0.57
báo giá booking kols,Informational,30,"0.44,0.11,0.33,0.11,1.00,0.56,0.56,0.11,0.11,0.11,0.11,0.11",7,0.29
agency booking báo chí,,20,"1.00,0.25,0.25,0.25,0.50,0.25,0.25,0.25,0.25,0.75,0.25,0.50",,0.62
book báo pr,,20,"0.20,0.20,0.20,1.00,0.60,0.60,0.20,0.20,0.20,1.00,0.20,0.80",,0.53
booking báo,,20,"0.80,0.40,0.20,0.20,0.20,0.20,0.20,1.00,0.40,0.20,0.40,0.60",,0.66
booking báo online,,20,"0.67,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,1.00,0.33,0.67",,0.29
liên hệ book báo,,20,"0.40,0.60,0.20,0.20,0.20,1.00,0.20,0.40,0.20,0.20,0.20,0.20",,0.86
agency booking báo,,10,"0.33,0.33,0.33,0.33,1.00,0.33,0.33,1.00,0.33,0.33,0.33,0.33",,0.61
booking bài báo,,10,"0.00,0.00,0.14,0.00,0.00,0.14,1.00,0.00,0.29,0.14,0.14,0.00",,0.00
agency book bài pr trên báo cnn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
agency book bài pr trên các báo nước ngoài,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
agency book bài pr được các báo online nước ngoài,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
book bài pr trên báo nước ngoài cnn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
book bài pr trên báo nước ngoài time,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
book báo chí la gi,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
book king báo mạng,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
book statement báo cáo kiểm tra sổ sách,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
book địa điểm trước khi họp báo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking bài pr báo batdongsan.com.vn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking bài pr báo online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo cafebiz,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo chỉ,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo doanh nhân sài gòn cuối tuần,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo dân trí,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo forbes,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo mạng,,0,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33",,0.38
booking báo phụ nữ online,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo sinh viên việt nam,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo worksheet resort,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
booking báo worksheetresort,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00
