Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
brando,1,1,320,45,0.00,https://brando.vn/,256,86.77,0.00,0.33,109,"67, 82, 82, 82, 82, 100, 82, 67, 100, 82, 67, 82",2026-08-02,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Short videos",navigational,Organic
dịch vụ xác minh google map,1,1,1000,4,0.43,https://brando.vn/dich-vu-google-map/dich-vu-xac-minh-google-map/,9,3.05,3.00,0.07,106,"45, 45, 45, 37, 45, 45, 100, 100, 55, 100, 62, 62",2026-07-11,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
brando,10,10,320,45,0.00,https://brando.vn/,9,3.05,0.00,0.33,109,"67, 82, 82, 82, 82, 100, 82, 67, 100, 82, 67, 82",2026-08-02,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Short videos",navigational,Knowledge panel
dịch vụ google maps,25,25,4400,12,0.39,https://brando.vn/dich-vu-google-map/,6,2.03,2.00,0.13,105,"9, 9, 13, 7, 67, 100, 100, 9, 11, 9, 7, 6",2026-08-08,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
guest post là gì,9,9,210,15,0.18,https://brando.vn/dich-vu-guest-post/,6,2.03,1.00,0.05,108,"66, 81, 66, 100, 66, 53, 53, 28, 81, 66, 81, 81",2026-07-30,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
bảng giá quảng cáo trên tạp chí,4,4,30,5,0.00,https://brando.vn/bang-gia-quang-cao-bao-brands-vietnam/,2,0.67,0.00,0.33,112,"56, 100, 11, 22, 11, 11, 11, 22, 11, 78, 11, 22",2026-07-23,Related searches,informational,Organic
giá đăng bài trên fanpage,2,2,30,2,0.00,https://brando.vn/bang-gia-booking-fanpage/,2,0.67,0.00,0.33,20,"14, 14, 14, 14, 29, 14, 100, 14, 14, 100, 14, 100",2026-07-25,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
báo giá afamily,3,3,30,3,0.00,https://brando.vn/bang-gia-quang-cao-bao-afamily/,2,0.67,0.00,0.14,126,"11, 11, 56, 22, 100, 11, 22, 78, 33, 11, 11, 56",2026-07-08,"Reviews, Related searches",commercial,Organic
người mua,14,14,880,28,0.00,https://brando.vn/nghia-vu-cua-nguoi-mua-va-nguoi-ban/,2,0.67,0.00,0.33,112,"55, 68, 45, 55, 77, 77, 68, 55, 37, 100, 77, 77",2026-07-14,"Sitelinks, Video, Video Carousel, People also ask, AI overview",informational,Organic
brando,5,5,320,45,0.00,https://brando.vn/gioi-thieu/,1,0.33,0.00,0.33,109,"67, 82, 82, 82, 82, 100, 82, 67, 100, 82, 67, 82",2026-08-02,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Short videos",navigational,People also ask
google map là gì,33,33,260,29,0.00,https://brando.vn/google-map-la-gi/,0,0,0.00,0.33,95,"100, 29, 44, 44, 29, 29, 29, 24, 36, 29, 29, 24",2026-08-02,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
công ty cổ phần global online branding,46,46,320,20,0.08,https://brando.vn/,0,0,0.00,0.05,101,"66, 36, 54, 44, 36, 29, 44, 24, 81, 54, 54, 100",2026-08-06,"Knowledge panel, Related searches",informational,Organic
book báo điện tử,26,26,30,11,0.00,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0,132,"11, 11, 56, 11, 22, 56, 11, 100, 56, 11, 56, 0",2026-07-08,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
bero building,35,35,320,22,0.00,https://brando.vn/,0,0,0.00,0.05,108,"23, 35, 29, 54, 54, 35, 100, 81, 54, 81, 81, 100",2026-06-24,"Knowledge panel, Reviews, Related searches",informational,Organic
báo giá thanh niên,14,14,30,9,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.03,125,"100, 11, 22, 11, 33, 11, 11, 78, 11, 33, 11, 11",2026-07-08,"Reviews, Related searches",informational,Organic
báo giá thanh niên,69,69,30,9,0.00,https://brando.vn/bang-gia-quang-cao-bao-vnreview/,0,0,0.00,0.03,125,"100, 11, 22, 11, 33, 11, 11, 78, 11, 33, 11, 11",2026-07-08,"Reviews, Related searches",informational,Organic
chế độ street view,18,18,30,30,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.17,128,"11, 11, 11, 11, 100, 11, 11, 78, 11, 11, 56, 33",2026-07-12,"Sitelinks, Reviews, Video, Related searches, Short videos, AI overview",informational,Organic
